artist_name,country
Jung Kook,KR
Jack Harlow,US
Major Lazer,JM
Latto,US
DJ Snake,FR
A. G. Cook,London
USHER,US
Justin Timberlake,US
David Guetta,FR
MK,US
The Kid LAROI,AU
Central Cee,England
Alesso,SE
BTS,KR
FIFA Sound,JP
Charlie Puth,US
Galantis,SE
Sam Feldt,NL
Future,US
BabyDrill,Atlanta
YoungBoy Never Broke Again,US
Robert Glasper,US
d4vd,US
Lil Yachty,US
j-hope,GB
Nile Rodgers,US
benny blanco,US
HUH YUNJIN,KR
JINBO the SuperFreak,KR
Gaeko,Unknown
YOON MIRAE,KR
Burna Boy,NG
21 Savage,US
Summer Walker,US
The-Dream,GB
H.E.R.,US
Pheelz,Lagos
Benson Boone,US
ROSÉ,US
Bruno Mars,US
Alphaville,DE
Ava Max,US
Coldplay,GB
Clean Bandit,GB
Zara Larsson,SE
Charli xcx,England
Teddy Swims,US
GIVĒON,US
Dua Lipa,GB
Alex Warren,GB
Zach Bryan,CA
Kacey Musgraves,US
Michael Marcagi,Cincinnati
OneRepublic,US
Little Simz,GB
Elyanna,PS
tINI,AR
Ella Henderson,GB
JISOO,KR
Alec Benjamin,GB
Sam Barber,US
Avery Anna,GR
Portugal. The Man,US
Nessa Barrett,US
Cody Johnson,US
Carrie Underwood,US
Kenya Grace,GB
Cameron Whitcomb,CA
Leigh-Anne,FR
Jenna Raine,US
Ravyn Lenae,US
Rex Orange County,
Jax,GB
Lizzo,US
Becky Hill,GB
Ed Sheeran,GB
Lil Baby,US
Tiësto,NL
Nathan Dawe,GB
Anne-Marie,GB
NEIKED,SE
SMYLES,
Madeline The Person,
Bazzi,US
Panic! At The Disco,US
LF SYSTEM,Scotland
Cardi B,US
Kanye West,US
Lil Durk,US
Tones And I,AU
ILLENIUM,US
BNXN,NG
GAYLE,US
Luude,AU
Mattafix,GB
Bella Poarch,US
Why Don't We,US
Robin Schulz,DE
Vance Joy,AU
Jason Derulo,US
Kodak Black,US
Jaymes Young,CA
Faouzia,CA
Genevieve Stokes,US
Sam Ryder,GB
FKA twigs,England
Ali Gatie,CA
Oliver Tree,GB
Forest Blakk,CA
Rachel Chinouriri,GB
MAX,DE
Hayley Kiyoko,US
Omar Apollo,US
jxdn,US
Sara Kays,US
Omah Lay,NG
Justin Bieber,CA
Maisie Peters,GB
RÜFÜS DU SOL,AU
NLE Choppa,US
Imagine Dragons,US
Oaks,US
Anderson .Paak,US
Silk Sonic,US
Joel Corry,London
MNEK,GB
Jess Glynne,GB
Bebe Rexha,US
Florida Georgia Line,US
Wallows,Los Angeles
Clairo,US
Dan + Shay,US
Coi Leray,US
Nicki Minaj,US
Maluma,CO
Myriam Fares,
Trinidad Cardona,US
Davido,NG
Aisha,GB
Ozuna,PR
GIMS,FR
RedOne,SE
Nora Fateh,Toronto
Balqees,Unknown
Rahma Riad,CZ
Ayed,SA
Nasser Al Kubaisi,
Haneen Hussain,
Tears For Fears,GB
Tate McRae,CA
Kanii,US
Riovaz,US
Nimstarr,
Lah Pat,US
Flo Milli,Los Angeles
Ty Dolla $ign,US
Budjerah,New South Wales
Yng Lvcas,Guadalajara
Peso Pluma,MX
Don Toliver,US
Janelle Monáe,US
Unknown Mortal Orchestra,Portland
CKay,NG
Blaqbonez,NG
WanMor,
PR1ISVX,
9lives,
Snoop Dogg,US
MAY-A,NO
J Balvin,CO
Eliza Rose,US
Interplanetary Criminal,Leeds
Piso 21,CO
Manuel Turizo,CO
Quevedo,Las Palmas de Gran Canaria
Myke Towers,PR
Sia,AU
Maria Becerra,AR
Danny Ocean,GB
Tiago PZK,AR
Zecca,
Crash Adams,GB
Lil Uzi Vert,US
Rita Ora,GB
Maldy,PR
ELENA ROSE,US
Jerry Di,US
Pink Sweat$,US
SZA,US
Michael Bublé,CA
Jubël,SE
KSI,GB
Tom Grennan,GB
Saweetie,US
Niall Horan,IE
TINI,AR
Ovy On The Drums,CO
Sofía Reyes,MX
De La Ghetto,PR
Chencho Corleone,PR
Twenty One Pilots,US
Doja Cat,US
Linkin Park,US
Fred again..,GB
DannyLux,US
Tion Wayne,US
La Roux,GB
DaBaby,US
LIT killah,Buenos Aires
Duki,Buenos Aires
Emilia,SE
Rusherking,AR
Big One,XW
FMK,
Gabito Ballesteros,MX
IDK,US
Lucky Daye,US
fun.,IT
Ruben Figueroa,MX
Megan Thee Stallion,US
Justin Quiles,PR
keshi,US
Thundercat,US
Bootsy Collins,US
Gabriels,Milazzo
Joshua Bassett,US
Sabrina Claudio,IT
Ingrid Andress,US
Chase Atlantic,US
GOON DES GARCONS*,
Løv Li,
Bailey Zimmerman,US
Noah Kahan,US
Kehlani,US
Adam Melchor,Los Angeles
Ben Abraham,NL
Gabby Barrett,US
Charlotte Lawrence,US
Sofía Valdés,PA
lady Jane,GB
Pesado,MX
Jesse & Joy,US
Luis Fonsi,PR
Danna Paola,MX
Christina Perri,US
Bacilos,US
Foreigner,US
Paramore,US
Marc Seguí,ES
Rauw Alejandro,PR
Pol Granch,ES
Maná,MX
LAGOS,Ciudad de México
Ben E. King,US
Micro TDH,VE
Jason Mraz,US
Carlos Baute,VE
Marta Sánchez,ES
Pablo Alborán,ES
Jarabe De Palo,ES
James Blunt,GB
Paulo Londra,AR
Alexander Acha,MX
Leo Rizzi,Valencia
Colbie Caillat,US
Frankie Valli,US
Joy,GB
Mikel Erentxun,ES
Sandoval,US
Reik,MX
Pedro Infante,MX
Death Cab for Cutie,US
LU,MX
Mike Bahía,CO
Greeicy,CO
Lasso,ES
Franco Rey,US
Skrillex,US
Anitta,BR
Missy Elliott,US
anders,AT
The Weeknd,CA
Wiz Khalifa,US
Justine Skye,
Tyga,US
Camila Cabello,US
Trey Songz,US
Tank,GB
Chris Brown,Unknown
Flo Rida,US
Chappell Roan,US
Disturbed,US
Rudimental,GB
Macklemore,US
Dan Caplen,GB
Nico & Vinz,DE
Travie McCoy,US
Surf Curse,US
gnash,US
Olivia O'Brien,US
Lykke Li,SE
The Magician,BE
Kelly Clarkson,US
Birdy,GB
Rainbow Kitten Surprise,North Carolina
Jamie Lawson,GB
Fitz and The Tantrums,US
GROUPLOVE,US
