artist_id,artist_name
6HaGTQPmzraVmaVxvz6EUc,Jung Kook
2LIk90788K0zvyj2JJVwkJ,Jack Harlow
738wLrAtLtCtFOLvQBXOXp,Major Lazer
3MdXrJWsbVzdn6fe5JYkSQ,Latto
540vIaP2JwjQb9dm3aArA4,DJ Snake
335TWGWGFan4vaacJzSiU8,A. G. Cook
23zg3TcAtWQy7J6upgbUnj,USHER
31TPClRtHm23RisEBtV3X7,Justin Timberlake
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
1yqxFtPHKcGcv6SXZNdyT9,MK
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI
5H4yInM5zmHqpKIoMNAx4r,Central Cee
4AVFqumd2ogHFlRbKIjp1t,Alesso
3Nrfpe0tUJi4K4DXYWgMUX,BTS
5C01hDqpEmrmDfUhX9YWsH,FIFA Sound
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth
4sTQVOfp9vEMCemLw50sbu,Galantis
20gsENnposVs2I4rQ5kvrf,Sam Feldt
1RyvyyTE3xzB2ZywiAwp0i,Future
4Q7FV4mw6Q3va79JwftGRv,BabyDrill
7wlFDEWiM5OoIAt8RSli8b,YoungBoy Never Broke Again
5cM1PvItlR21WUyBnsdMcn,Robert Glasper
5y8tKLUfMvliMe8IKamR32,d4vd
6icQOAFXDZKsumw3YXyusw,Lil Yachty
0b1sIQumIAsNbqAoIClSpy,j-hope
3yDIp0kaq9EFKe07X1X2rz,Nile Rodgers
5CiGnKThu5ctn9pBxv7DGa,benny blanco
13yWtUnz63q5VIs5SwoMhy,HUH YUNJIN
4PlxqkEk6seCManiTAPTWb,JINBO the SuperFreak
0tkHE1pQ5ZCgQb8WZ0ba79,Gaeko
1Do4bSzfUl0KWL9r1fITu0,YOON MIRAE
3wcj11K77LjEY1PkEazffa,Burna Boy
1URnnhqYAYcrqrcwql10ft,21 Savage
57LYzLEk2LcFghVwuWbcuS,Summer Walker
1W3FSF1BLpY3hlVIgvenLz,The-Dream
3Y7RZ31TRPVadSFVy1o8os,H.E.R.
5Jv1MsZBh0sqokFq7pU8Xg,Pheelz
22wbnEMDvgVIAGdFeek6ET,Benson Boone
3eVa5w3URK5duf6eyVDbu9,ROSÉ
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
0xliTEbFfy5HQHvsTknTkX,Alphaville
4npEfmQ6YuiwW1GpUmaq3F,Ava Max
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
6MDME20pz9RveH9rEXvrOM,Clean Bandit
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson
25uiPmTg16RbhZWAqwLBy5,Charli xcx
33qOK5uJ8AR2xuQQAhHump,Teddy Swims
4fxd5Ee7UefO4CUXgwJ7IP,GIVĒON
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa
0fTSzq9jAh4c36UVb4V7CB,Alex Warren
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan
70kkdajctXSbqSMJbQO424,Kacey Musgraves
4j96cMcT8GRi11qbvo1cLQ,Michael Marcagi
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
6eXZu6O7nAUA5z6vLV8NKI,Little Simz
0jIWKlfmD4Ew7HeVVrq03g,Elyanna
1u88vrRlJSMtOqP6ulmeCc,tINI
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson
6UZ0ba50XreR4TM8u322gs,JISOO
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin
08GfvCW09pv2QP4y9sle2a,Sam Barber
5rjz63sgMaAUAyBMyCUK5D,Avery Anna
4kI8Ie27vjvonwaB2ePh8T,Portugal. The Man
7pwufEBGfggjoI8twqlsmQ,Nessa Barrett
6zLBxLdl60ekBLpawtT63I,Cody Johnson
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace
6dhXvR5MsnlwYguRuqoapR,Cameron Whitcomb
79QUtAVxGAAoiWNlqBz9iy,Leigh-Anne
3aHe9rMa5HFTjXHw8tEz0A,Jenna Raine
5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County
7DQYAz99eM3Y5PkP9WtUew,Jax
56oDRnqbIiwx4mymNEv7dS,Lizzo
4EPJlUEBy49EX1wuFOvtjK,Becky Hill
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
5f7VJjfbwm532GiveGC0ZK,Lil Baby
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto
2gduEC76ry33RVurAvT05p,Nathan Dawe
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
5H6xmHXjsq98NLbEjuE29f,NEIKED
7bCRnTi1yDFfLbDFkMqvaS,SMYLES
79GARbspzW3V7Kb07hTLoY,Madeline The Person
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi
20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco
0HxX6imltnNXJyQhu4nsiO,LF SYSTEM
4kYSro6naA4h99UJvo89HB,Cardi B
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
3hcs9uc56yIGFCSy9leWe7,Lil Durk
2NjfBq1NflQcKSeiDooVjY,Tones And I
45eNHdiiabvmbp4erw26rg,ILLENIUM
3zaDigUwjHvjOkSn0NDf9x,BNXN
